name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2023-06-01,20.2,10.1,14.6,20.2,10.1,14.6,6,58.1,0,0,0,,0,0,29.5,14.9,344.5,1018.5,25.5,16,310.9,26.8,9,10,2023-06-01T05:15:50,2023-06-01T20:59:07,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-02,22.4,11,16.1,22.4,11,16.1,7.3,57.7,0,0,0,,0,0,11.2,12.9,285.5,1019.3,18.6,16,322.8,27.8,9,10,2023-06-02T05:15:14,2023-06-02T21:00:02,0.46,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-03,22.8,9.9,16.4,22.8,9.9,16.4,7.5,57.9,0,0,0,,0,0,16.6,12.7,339.7,1020.5,1.8,16,324.6,28.1,9,10,2023-06-03T05:14:39,2023-06-03T21:00:54,0.5,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-04,19.9,11.3,15.5,19.9,11.3,15.5,3.9,48.4,0,0,0,,0,0,38.9,23,352.1,1023.1,19.3,16,337.2,29.4,9,10,2023-06-04T05:14:08,2023-06-04T21:01:45,0.52,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-05,22.1,10.6,16.5,22.1,10.6,16.5,4.6,48,0,0,0,,0,0,45.1,29.3,346.3,1020.4,4.1,16,336.7,29.3,9,10,2023-06-05T05:13:38,2023-06-05T21:02:34,0.56,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-06,25.7,12.4,19.6,25.7,12.4,19.6,6.8,45,0,0,0,,0,0,35.3,18.6,339.3,1012.6,0.3,16,329,28.5,9,10,2023-06-06T05:13:12,2023-06-06T21:03:21,0.59,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-07,29.6,14.2,22.1,28.1,14.2,21.8,6.9,39.9,0,0,0,,0,0,14.8,12.7,322.4,1009.9,17.7,16,296.8,25.5,8,10,2023-06-07T05:12:47,2023-06-07T21:04:06,0.63,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-08,23.3,12.5,17.7,23.3,12.5,17.7,10.5,63.5,0,0,0,,0,0,28.8,15.9,199.3,1014.5,31.6,16,291,25.2,8,10,2023-06-08T05:12:26,2023-06-08T21:04:49,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2023-06-09,16.3,12.2,13,16.3,12.2,13,10.4,84.3,3.171,100,54.17,rain,0,0,29.5,15.7,191.3,1017.1,98.3,13.6,45.1,3.8,1,10,2023-06-09T05:12:07,2023-06-09T21:05:30,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2023-06-10,16.1,11.4,13.4,16.1,11.4,13.4,11.5,88.3,4.833,100,58.33,rain,0,0,13,11.3,168.8,1018.2,97.6,11.7,67.6,5.9,2,10,2023-06-10T05:11:50,2023-06-10T21:06:09,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
